title | Epic - Book Two: Inheritor of the Stars

author | treave

index

chapter | h3 | Part 8 - Central Brain | http://www.rpgcodex.net/forums/index.php?posts/2796864
chapter | h3 | Part 9 - Control, Alternate, Delete | http://www.rpgcodex.net/forums/index.php?posts/2806651
chapter | h3 | Part 10 - Garden of the Gods | http://www.rpgcodex.net/forums/index.php?posts/2808042
chapter | h3 | Part 11 - Tribulations of the Grand Marshal | http://www.rpgcodex.net/forums/index.php?posts/2809341
chapter | h3 | Part 12 - Stalker Encounter | http://www.rpgcodex.net/forums/index.php?posts/2811254
chapter | h3 | Part 13 - Advent of Space Whaling | http://www.rpgcodex.net/forums/index.php?posts/2812701
chapter | h3 | Part 14 - Crossroads of Life and Death | http://www.rpgcodex.net/forums/index.php?posts/2814497
chapter | h3 | Part 15 - Stardust to Stardust | http://www.rpgcodex.net/forums/index.php?posts/2816181
chapter | h3 | Part 16 - The Will That Prevails | http://www.rpgcodex.net/forums/index.php?posts/2817381
chapter | h3 | Part 17 - Embodiment of the Devourer | http://www.rpgcodex.net/forums/index.php?posts/2818797
chapter | h3 | Part 18 - Code Masters | http://www.rpgcodex.net/forums/index.php?posts/2822122
chapter | h3 | Part 19 - The All-Seeing Eye | http://www.rpgcodex.net/forums/index.php?posts/2826196
chapter | h3 | Part 20 - Those Who Challenge the Divine Will | http://www.rpgcodex.net/forums/index.php?posts/2827830
chapter | h3 | Chapter End - Man · God · Machine | http://www.rpgcodex.net/forums/index.php?posts/2828604

chapter | h2 | Epilogue: The Continuing World | http://www.rpgcodex.net/forums/index.php?posts/2830010

chapter | h2 | Another Epilogue: Somewhere in the multiverse... | http://www.rpgcodex.net/forums/index.php?posts/2830014
